Date,Open,High,Low,Close,Adj Close,Volume
2019-06-25,72.930000,73.169998,69.260002,69.870003,69.870003,12032700
2019-06-26,70.980003,72.000000,69.910004,69.949997,69.949997,7911800
2019-06-27,70.570000,71.540001,70.050003,71.279999,71.279999,5163800
2019-06-28,72.430000,73.148003,71.570000,72.529999,72.529999,9465000
2019-07-01,73.900002,74.199997,72.699997,73.199997,73.199997,8068300
2019-07-02,72.980003,73.970001,72.650002,73.970001,73.970001,5894900
2019-07-03,74.000000,74.320000,73.349998,74.260002,74.260002,2904600
2019-07-05,73.750000,74.360001,73.199997,74.309998,74.309998,3523500
2019-07-08,73.800003,74.000000,73.059998,73.430000,73.430000,4288000
2019-07-09,74.029999,78.389999,73.959999,77.959999,77.959999,21399700
2019-07-10,77.910004,78.699997,77.400002,78.370003,78.370003,10342800
2019-07-11,78.449997,79.959999,78.430000,79.440002,79.440002,7916400
2019-07-12,80.050003,82.660004,79.730003,82.279999,82.279999,13586300
2019-07-15,82.480003,82.510002,81.199997,82.169998,82.169998,6428500
2019-07-16,81.800003,81.800003,80.309998,80.589996,80.589996,5772000
2019-07-17,80.209999,82.169998,80.190002,80.870003,80.870003,6264000
2019-07-18,80.870003,82.139999,80.220001,81.059998,81.059998,6834600
2019-07-19,81.610001,81.699997,78.419998,78.510002,78.510002,6877500
2019-07-22,79.129997,79.629997,78.379997,78.570000,78.570000,4001900
2019-07-23,79.000000,79.370003,77.861000,78.839996,78.839996,3624800
2019-07-24,78.669998,80.500000,78.430000,80.430000,80.430000,4751000
2019-07-25,80.150002,81.089996,79.129997,80.019997,80.019997,6000400
2019-07-26,80.629997,82.320000,80.629997,81.809998,81.809998,5668200
2019-07-29,81.879997,82.000000,79.059998,80.199997,80.199997,7211400
2019-07-30,80.230003,81.190002,79.379997,80.489998,80.489998,5369300
2019-07-31,81.169998,81.949997,79.010002,80.410004,80.410004,7406900
2019-08-01,81.099998,83.199997,80.000000,80.980003,80.980003,16099700
2019-08-02,70.800003,70.809998,67.250000,69.599998,69.599998,43722000
2019-08-05,66.199997,66.500000,63.685001,64.849998,64.849998,21651500
2019-08-06,66.849998,67.400002,63.150002,64.599998,64.599998,14970800
2019-08-07,63.180000,65.260002,62.849998,65.000000,65.000000,9246500
2019-08-08,66.070000,66.570000,64.930000,66.269997,66.269997,9461900
2019-08-09,65.970001,66.120003,64.320000,65.010002,65.010002,7216900
2019-08-12,64.019997,64.237000,60.251999,62.299999,62.299999,8516800
2019-08-13,62.000000,63.500000,61.520000,63.000000,63.000000,11917600
2019-08-14,61.849998,62.349998,60.470001,61.549999,61.549999,8577900
2019-08-15,62.009998,62.680000,61.240002,62.000000,62.000000,7080300
2019-08-16,62.610001,63.209999,62.130001,62.869999,62.869999,5421400
2019-08-19,64.000000,64.432999,63.200001,64.080002,64.080002,6975800
2019-08-20,64.239998,65.105003,63.827999,64.370003,64.370003,7008600
2019-08-21,65.320000,66.139999,64.809998,65.410004,65.410004,5536400
2019-08-22,65.919998,65.970001,63.369999,64.680000,64.680000,4694400
2019-08-23,64.300003,65.050003,61.400002,61.779999,61.779999,9173800
2019-08-26,62.919998,63.520000,62.360001,62.799999,62.799999,5257600
2019-08-27,63.160000,63.430000,61.119999,61.750000,61.750000,5207100
2019-08-28,61.279999,62.219002,60.599998,62.150002,62.150002,4559600
2019-08-29,63.020000,63.410000,62.299999,62.840000,62.840000,4421800
2019-08-30,63.150002,63.459999,61.151001,61.840000,61.840000,5828500
2019-09-03,62.430000,63.980000,60.959999,61.130001,61.130001,12051700
2019-09-04,61.750000,62.689999,60.770000,61.169998,61.169998,6637100
2019-09-05,61.880001,63.470001,61.668999,63.020000,63.020000,8160400
2019-09-06,63.500000,63.849998,61.889999,62.000000,62.000000,4744100
2019-09-09,62.549999,62.730000,59.070000,61.470001,61.470001,11684400
2019-09-10,60.720001,62.099998,59.450001,60.549999,60.549999,9394000
2019-09-11,60.849998,60.849998,58.910000,59.200001,59.200001,11561400
2019-09-12,59.500000,59.860001,57.750000,57.790001,57.790001,15301200
2019-09-13,57.180000,58.849998,55.910000,58.290001,58.290001,11657500
2019-09-16,57.340000,59.630001,57.240002,59.250000,59.250000,12394000
2019-09-17,60.200001,60.700001,59.150002,59.599998,59.599998,9225100
2019-09-18,59.990002,60.419998,58.759998,59.750000,59.750000,8644200
2019-09-19,59.959999,60.180000,58.410000,59.029999,59.029999,7094000
2019-09-20,59.000000,59.139999,56.924999,57.849998,57.849998,9204200
2019-09-23,57.070000,57.450001,56.389999,56.759998,56.759998,8773800
2019-09-24,56.849998,58.750000,54.410000,57.500000,57.500000,19489000
2019-09-25,57.419998,58.889999,56.229000,58.509998,58.509998,10034000
2019-09-26,60.040001,61.150002,59.830002,60.799999,60.799999,16447900
2019-09-27,60.980000,61.650002,59.930000,60.750000,60.750000,10698900
2019-09-30,60.959999,62.279999,60.849998,61.950001,61.950001,7317400
2019-10-01,62.299999,62.990002,61.049999,61.630001,61.630001,7549200
2019-10-02,61.230000,61.230000,58.860001,60.080002,60.080002,8834100
2019-10-03,59.480000,62.439999,59.060001,62.049999,62.049999,8082800
2019-10-04,62.509998,62.919998,61.439999,62.650002,62.650002,5073400
2019-10-07,62.240002,62.849998,61.689999,62.250000,62.250000,4115000
2019-10-08,61.849998,62.189999,60.630001,60.799999,60.799999,4664600
2019-10-09,61.430000,62.520000,61.270000,62.220001,62.220001,4088100
2019-10-10,62.250000,62.630001,61.560001,62.029999,62.029999,4440600
2019-10-11,62.759998,63.560001,61.470001,61.540001,61.540001,9084300
2019-10-14,61.520000,62.290001,61.400002,61.830002,61.830002,3660100
2019-10-15,62.220001,64.489998,62.220001,64.290001,64.290001,6189700
2019-10-16,63.820000,63.880001,62.560001,63.000000,63.000000,4187300
2019-10-17,63.020000,64.550003,63.020000,63.400002,63.400002,5565000
2019-10-18,63.169998,63.438999,59.783001,60.450001,60.450001,7905500
2019-10-21,60.700001,61.480000,59.830002,61.150002,61.150002,5468700
2019-10-22,61.279999,61.490002,58.549999,58.830002,58.830002,7093700
2019-10-23,58.900002,59.689999,57.619999,58.360001,58.360001,7628800
2019-10-24,59.619999,61.770000,59.590000,61.720001,61.720001,7998100
2019-10-25,61.480000,63.250000,61.110001,62.889999,62.889999,5189300
2019-10-28,62.820000,63.430000,61.910000,62.799999,62.799999,7171200
2019-10-29,62.799999,63.617001,62.380001,62.410000,62.410000,4030900
2019-10-30,62.509998,62.730000,61.474998,62.160000,62.160000,4832800
2019-10-31,62.000000,62.650002,60.900002,61.430000,61.430000,4416100
2019-11-01,61.570000,62.813999,61.459999,62.599998,62.599998,6184900
2019-11-04,63.299999,63.830002,62.360001,62.380001,62.380001,6046700
2019-11-05,62.500000,62.549999,59.910000,61.060001,61.060001,8552000
2019-11-06,61.330002,61.930000,60.577999,61.340000,61.340000,12855600
2019-11-07,61.910000,66.599998,60.540001,64.410004,64.410004,25984000
2019-11-08,63.180000,63.451000,61.330002,62.450001,62.450001,11629500
2019-11-11,61.880001,64.894997,61.880001,63.790001,63.790001,12711100
